user_id,group,coupon_received,signup_day,exposure_day,made_first_purchase_30d,days_to_first_purchase,repeat_visits_14d,browse_sessions_14d,product_views_14d,cart_adds_14d,discount_page_views_14d,coupon_used,repeat_purchase_180d,orders_180d,gross_revenue_180d,discount_cost_180d,net_revenue_180d,realized_ltv_180d,latent_response_type,latent_value_type,latent_timing_type
1,treatment,1,82,82,0,,0,1,1,2,3,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
2,control,0,67,74,0,,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
3,treatment,1,19,23,1,17,2,4,12,0,4,1,0,1,31.24,20.52,10.72,10.72,persuadable,discount_driven_low_value,normal_timing
4,treatment,1,90,97,0,,4,4,11,4,1,0,0,0,0.0,0.0,0.0,0.0,persuadable,high_value,normal_timing
5,control,0,90,93,1,7,5,7,14,2,0,0,1,6,176.98,8.85,168.13,168.13,sure_thing,high_value,normal_timing
6,treatment,1,4,10,0,,2,3,8,2,6,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,normal_timing
7,treatment,1,3,5,1,9,5,8,13,4,0,0,1,5,305.79,15.29,290.5,290.5,sure_thing,high_value,normal_timing
8,treatment,1,23,26,0,,2,1,4,0,0,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
9,control,0,72,74,0,,3,1,7,1,6,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,normal_timing
10,control,0,54,58,0,,5,4,20,6,1,0,0,0,0.0,0.0,0.0,0.0,sure_thing,high_value,normal_timing
11,control,0,47,48,0,,1,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
12,treatment,1,38,42,1,5,5,2,7,2,3,1,1,2,60.93,16.9,44.03,44.03,sure_thing,medium_value,pulled_forward
13,treatment,1,44,50,1,17,5,8,20,7,2,1,1,2,135.03,16.34,118.69,118.69,persuadable,high_value,normal_timing
14,treatment,1,58,59,0,,0,4,6,0,4,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,normal_timing
15,control,0,6,12,0,,0,0,2,0,1,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
16,control,0,53,59,0,,2,10,18,3,1,0,0,0,0.0,0.0,0.0,0.0,persuadable,high_value,normal_timing
17,treatment,1,20,20,0,,1,1,5,2,5,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,pulled_forward
18,control,0,71,76,0,,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
19,treatment,1,18,21,0,,1,2,9,2,10,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,normal_timing
20,treatment,1,7,12,0,,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
21,treatment,1,40,42,0,,1,4,5,1,6,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,normal_timing
22,control,0,40,41,1,14,4,4,20,4,1,0,1,3,218.69,10.93,207.76,207.76,sure_thing,high_value,normal_timing
23,treatment,1,47,49,1,20,4,7,14,1,4,1,1,8,495.32,34.36,460.97,460.97,sure_thing,high_value,normal_timing
24,treatment,1,78,79,1,9,0,0,2,2,0,0,0,1,24.91,2.49,22.42,22.42,lost_cause,no_value,no_purchase
25,treatment,1,63,66,0,,1,0,9,0,4,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,normal_timing
26,control,0,33,39,1,18,1,4,11,2,4,0,0,1,27.39,9.58,17.8,17.8,persuadable,discount_driven_low_value,normal_timing
27,control,0,66,72,0,,0,2,4,0,0,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
28,control,0,46,47,0,,1,3,10,2,9,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,normal_timing
29,control,0,21,25,0,,0,0,2,0,2,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
30,treatment,1,2,2,1,13,2,2,7,1,7,0,0,1,28.23,9.88,18.35,18.35,persuadable,discount_driven_low_value,pulled_forward
31,treatment,1,1,1,1,9,1,3,7,2,7,1,0,1,21.01,16.94,4.07,4.07,persuadable,discount_driven_low_value,pulled_forward
32,treatment,1,21,26,0,,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
33,control,0,74,76,0,,0,0,3,1,0,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
34,control,0,42,47,0,,7,6,14,4,0,0,0,0,0.0,0.0,0.0,0.0,persuadable,high_value,normal_timing
35,control,0,41,42,0,,0,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
36,control,0,36,36,1,17,1,2,3,0,0,0,0,1,21.79,2.18,19.61,19.61,lost_cause,no_value,no_purchase
37,control,0,24,29,0,,1,0,2,0,1,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
38,control,0,65,66,0,,0,1,9,0,2,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,pulled_forward
39,control,0,2,2,0,,0,0,13,1,5,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,pulled_forward
40,treatment,1,56,62,0,,2,3,7,1,7,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,pulled_forward
